"","NR.AhR","NR.AR","NR.AR.LBD","NR.Aromatase","NR.ER","NR.ER.LBD","NR.PPAR.gamma","SR.ARE","SR.ATAD5","SR.HSE","SR.MMP","SR.p53"
"NCGC00178831-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00166114-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00263563-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00013058-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00167516-01",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00018301-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00249897-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00016000-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00181091-01",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00094089-01",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00094996-01",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00263579-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00095016-05",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00095192-05",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00091258-05",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00263656-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00166121-03",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00257773-01",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00091023-06",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00091112-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00167436-02",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00177980-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00179665-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00344566-01",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00015959-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00017112-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00015747-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00167493-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00273481-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00161831-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015889-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00159424-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00091563-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00015273-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00257649-01",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00262909-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00096056-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00262929-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00159441-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00142623-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00344555-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016258-06",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00159476-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00160275-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00166120-02",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
